CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
427997472,41,BRONX,10/01/2019,08:00:00,,,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,HOMELESS SHELTER,03/19/2020,1013232,236725,40.816391847000034,-73.89529641399997,"(40.816391847000034, -73.89529641399997)"
770839782,109,QUEENS,03/24/2020,15:00:00,03/24/2020,17:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,HOTEL/MOTEL,03/25/2020,1032198,217060,40.76233421800004,-73.82691730799998,"(40.76233421800004, -73.82691730799998)"
776821578,77,BROOKLYN,11/29/2019,18:00:00,11/29/2019,18:30:00,COMPLETED,STERLING PLACE REHAB (SAINT JOHNS-STERLING),N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,03/31/2020,1003606,185050,40.67458330800008,-73.93022154099998,"(40.67458330800008, -73.93022154099998)"
101703705,106,QUEENS,02/11/2020,00:00:00,02/11/2020,00:10:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/27/2020,1028713,187853,40.68218640100008,-73.83969048299997,"(40.68218640100008, -73.83969048299997)"
770657818,68,BROOKLYN,03/21/2020,16:30:00,03/21/2020,19:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/21/2020,978016,172087,40.63902167200007,-74.022463524,"(40.63902167200007, -74.022463524)"
262425479,49,BRONX,03/20/2020,12:00:00,03/20/2020,23:59:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/30/2020,1027295,251236,40.85616295700004,-73.84439712399995,"(40.85616295700004, -73.84439712399995)"
606285522,1,MANHATTAN,03/20/2020,00:00:00,03/20/2020,03:30:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,REAR OF,RAPE,,157,RAPE 1,OTHER,03/20/2020,982285,201682,40.72025522300004,-74.00709027999993,"(40.72025522300004, -74.00709027999993)"
298427697,79,BROOKLYN,03/18/2020,20:30:00,03/18/2020,21:03:00,ATTEMPTED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/18/2020,999634,190253,40.688872153000034,-73.94452903199993,"(40.688872153000034, -73.94452903199993)"
399842363,63,BROOKLYN,03/19/2020,20:00:00,03/19/2020,21:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE-HOUSE,03/19/2020,1000448,168068,40.627977755000074,-73.94164715699996,"(40.627977755000074, -73.94164715699996)"
871208691,33,MANHATTAN,03/24/2020,00:00:00,03/24/2020,03:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - APT. HOUSE,03/24/2020,1001936,245282,40.83990820100007,-73.93608358699998,"(40.83990820100007, -73.93608358699998)"
